epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,1090.1,1.36368,1.04065,0.01224,0.78556,0.72593,0.79731,0.45935,1.19423,0.80337,0.01478,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,2011.76,1.31416,0.72854,0.01347,0.78167,0.72872,0.79692,0.45927,1.19395,0.80549,0.01478,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,2926.13,1.29229,0.71717,0.01299,0.78154,0.7277,0.79671,0.45945,1.19347,0.80456,0.01476,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3837.79,1.30624,0.68838,0.01296,0.77789,0.72911,0.79675,0.45923,1.19338,0.80273,0.01479,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4748.99,1.2707,0.68635,0.01259,0.77937,0.73077,0.79701,0.45956,1.19263,0.80393,0.01477,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5661.75,1.27601,0.67164,0.01259,0.78341,0.72907,0.7977,0.46004,1.19245,0.80518,0.01476,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6570.59,1.26268,0.65037,0.01245,0.78116,0.72821,0.79808,0.46093,1.19154,0.80634,0.01475,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7480.3,1.25809,0.65998,0.01214,0.78408,0.72709,0.79827,0.46046,1.1916,0.80754,0.01475,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8392.58,1.25301,0.65714,0.01207,0.7837,0.72815,0.79815,0.46033,1.19116,0.8063,0.01474,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9305.04,1.23983,0.64074,0.01217,0.779,0.73281,0.79837,0.46019,1.19214,0.80664,0.01477,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10217.6,1.22528,0.61523,0.01164,0.77938,0.73419,0.79849,0.45972,1.19343,0.80557,0.01478,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
